/////////////////////////////////////////////////
//       SkuZ-Bot-V0.1    By Skonk & BuZ       //
/////////////////////////////////////////////////

  login                .login
  logout               .logout
  version              .ver
  speedtest            .test
  download             .download
  update               .update
  portscan             .portscan
  advscan               .scan
  scanall               .asc
  allscan               .all
  scanstop          	.stop
  scanstats         	.stats
  threads          	.threads
  procs            	.procs
  openfile          	.open
  net              	.net
  myip	                .ip
  currentthreads        .ct
  netinfo          	.ni
  systeminfo       	.si
  uptime            	.up
  currentip         	.ci
  driveinfo         	.di
  removebot         	.kill
  die	                .die
  reboot           	.reboot
  nick             	.nick
  join              	.join
  part 	                .part
  raw              	.raw
  httpserver 	        .http
  tftpserver       	.tftp
  randomnick 	        .ndnick
  secure            	.secure
  unsecure          	.unsecure
  socks4           	.socks4
  socks4stop        	.socks4stop
  rloginstop        	.rloginstop
  httpstop          	.httpstop
  logstop            	.logstop
  redirectstop      	.rdstop
  tftpstop           	.ftfpstop
  findfilestop      	.findstop
  procsstop         	.procsstop
  securestop        	.securestop
  reconnect        	.reconnect
  disconnect        	.disconnect
  quit              	.quit
  status            	.status
  botid              	.botid
  aliases            	.alias
  log                	.log
  clearlog          	.clearlog
  testdlls           	.testdlls
  encrypt           	.encrypt
  opencmd           	.opencmd
  cmdstop            	.stopcmd
  who                	.who
  getclipboard       	.getclip
  flusharp           	.flusharp
  flushdns           	.flushdns
  rloginserver      	.rlogin
  crash            	.crash
  killthreads          	.killthreads
  prefix             	.prefix
  server            	.server
  dnslookup        	.dns
  killproc          	.killproc
  killid             	.killid
  delete           	.delete
  dccget             	.get
  list 	                .list
  visit             	.visit
  mirccmd            	.mirc
  remotecmd         	.cmd
  readfile          	.read
  ident            	.ident
  gethost          	.gethost
  addalias           	.addalias
  privatemessage      	.pm
  action             	.action
  cycle              	.cycle
  mode               	.mode
  repeat             	.repeat
  delay             	.delay
  execute           	.execute
  findfile          	.find
  rename            	.rename
  email             	.email
  httpcon           	.httpcon
  upload            	.upload
  clone              	.clone
  clonestop         	.clonestop
  craw             	.craw
  cmode           	.cmode
  cnick           	.cnick
  cjoin            	.cjoin
  cpart             	.cpart
  cquit            	.cquit
  crandomnick      	.crndnick
  cprivatemessage   	.cpm
  caction          	.caction


/////////////////////////////////////////////////
//       SkuZ-Bot-V0.1    By Skonk & BuZ       //
/////////////////////////////////////////////////
