-- phpMyAdmin SQL Dump
-- version 2.11.7
-- http://www.phpmyadmin.net
--
-- Host: localhost
-- Generation Time: Jul 10, 2008 at 12:20 PM
-- Server version: 5.0.58
-- PHP Version: 5.2.6

SET SQL_MODE="NO_AUTO_VALUE_ON_ZERO";

--
-- Database: `bender1`
--

-- --------------------------------------------------------

--
-- Table structure for table `tbl`
--

CREATE TABLE IF NOT EXISTS `tbl` (
  `id` int(11) NOT NULL auto_increment,
  `ti` int(11) NOT NULL,
  `os` tinyint(4) NOT NULL,
  `br` tinyint(4) NOT NULL,
  `cn` smallint(6) NOT NULL,
  `ip` int(11) NOT NULL,
  `ok` tinyint(4) NOT NULL,
  `sp` tinyint(4) NOT NULL default '0',
  `ma` tinyint(4) NOT NULL default '0',
  `mi` tinyint(4) NOT NULL default '0',
  UNIQUE KEY `ip` (`ip`),
  KEY `id` (`id`)
) ENGINE=MyISAM  DEFAULT CHARSET=latin1 AUTO_INCREMENT=15754 ;

--
-- Dumping data for table `tbl`
--

INSERT INTO `tbl` (`id`, `ti`, `os`, `br`, `cn`, `ip`, `ok`, `sp`, `ma`, `mi`) VALUES
(1, 1215483283, 3, 2, 22, 1404706716, 0, 0, 6, 0),
(2, 1215483284, 2, 2, 15, -1026534448, 0, 0, 7, 0),
(3, 1215483297, 3, 2, 67, 1361397788, 0, 0, 6, 0),
(4, 1215483301, 2, 2, 67, -1823225960, 0, 0, 7, 0),
(5, 1215483302, 3, 2, 56, -648342033, 0, 0, 6, 0),
(6, 1215483302, 2, 2, 56, 1437651484, 0, 0, 7, 0),
(7, 1215483303, 2, 2, 13, -1104075788, 0, 0, 7, 0),
(8, 1215483304, 2, 2, 99, 1370990093, 0, 0, 7, 0),
(9, 1215483305, 2, 2, 152, -1112734277, 0, 0, 6, 0),
(10, 1215483315, 2, 1, 0, 1580337712, 0, 0, 9, 27),
(11, 1215483317, 2, 2, 184, 1333223518, 0, 0, 7, 0),
(12, 1215483317, 3, 2, 44, 701481110, 0, 0, 6, 0),
(13, 1215483336, 3, 2, 185, 1385657316, 0, 0, 6, 0),
(14, 1215483337, 2, 2, 108, 1372601544, 0, 0, 7, 0),
(15, 1215483353, 1, 2, 103, 2057309478, 1, 2, 6, 0),
(16, 1215483361, 3, 2, 185, -706083586, 0, 0, 6, 0),
(17, 1215483366, 2, 2, 67, -640050102, 0, 0, 7, 0),
(18, 1215483367, 3, 2, 185, -1010932822, 1, 2, 6, 0),
(19, 1215483395, 3, 2, 185, 1433477261, 1, 5, 6, 0),
(20, 1215483407, 2, 2, 132, -1026225894, 0, 0, 7, 0),
(21, 1215483412, 2, 3, 16, -886241013, 0, 0, 2, 15),
(22, 1215483423, 2, 2, 99, 1370972478, 0, 0, 7, 0),
